,Titulo,objetivo
4954,Cop and a Half: New Recruit,"MovieLouDiamondPhillips,LuluWilson,GilesPanton,JanetKidder,MichaelColeman,WallaceShawn,GinaHolden,JordynAshleyOlson,VincentTong,ReeseAlexanderJonRosenbaumCanadaChildren&FamilyMovies,Comedies96minChildren&FamilyMovies,ComediesAugAugPGThursday"
4955,DreamWorks Shrek's Swamp Stories,"TV ShowMikeMyers,EddieMurphy,CameronDiaz,AntonioBanderas,KristenSchaal,SimonCowell,GillesMarini,CharlotteNewhouse,DeanEdwards,CodyCameron,ChristopherKnights,ConradVernonDiretorDesconhecidoUnitedStatesKids'TV,TVAction&Adventure,TVComedies1SeasonKids'TV,TVAction&Adventure,TVComediesAugAugTV-PGFriday"
4956,45 rpm,"TV ShowCarlosCuevas,GuiomarPuerta,IvánMarcos,IsraelElejalde,EudaldFont,LuisLarrodera,CarmenGutiérrez,DianaGómez,VitoSanz,MarinaSanJosé,PerePonce,JoanPeraDiretorDesconhecidoSpainInternationalTVShows,RomanticTVShows,Spanish-LanguageTVShows1SeasonInternationalTVShows,RomanticTVShows,Spanish-LanguageTVShowsAugAugTV-MAFriday"
4957,Apache: The Life of Carlos Tevez,"TV ShowBalthazarMurillo,VanesaGonzález,AlbertoAjaka,SofíaGalaCastiglione,PatricioContreras,MatíasRecalt,OsquiGuzmán,RobertoVallejos,DiegoGallardoDiretorDesconhecidoArgentinaCrimeTVShows,InternationalTVShows,Spanish-LanguageTVShows1SeasonCrimeTVShows,InternationalTVShows,Spanish-LanguageTVShowsAugAugTV-MAFriday"
4958,Better Than Us,"TV ShowPaulinaAndreeva,KirillKäro,AleksandrUstyugov,OlgaLomonosova,EldarKalimulin,VitaliyaKornienko,VeraPanfilova,AleksandrKuznetsov,FyodorLavrov,SergeySosnovskiy,KirillPolukhin,PavelVorontsovDiretorDesconhecidoRussiaCrimeTVShows,InternationalTVShows,TVDramas1SeasonCrimeTVShows,InternationalTVShows,TVDramasAugAugTV-MAFriday"
4959,Blue Exorcist,"TV ShowNobuhikoOkamoto,JunFukuyama,KanaHanazawa,KazuyaNakai,KojiYusa,YukiKaji,EriKitamura,AyahiTakagaki,RinaSatou,DaisukeOno,RyotaroOkiayu,TetsuyaKakihara,HiroshiKamiya,KeijiFujiwara,HiroakiHirata,JinUrayama,KatsuyukiKonishi,KishoTaniyama,M・A・O,KazuhiroYamaji,HideyukiTanaka,MasakiTerasoma,NaomiShindoDiretorDesconhecidoJapanAnimeSeries,InternationalTVShows1SeasonAnimeSeries,InternationalTVShowsAugAugTV-14Friday"
4960,Diagnosis,"TV ShowLisaSandersDiretorDesconhecidoUnitedStatesDocuseries,Science&NatureTV1SeasonDocuseries,Science&NatureTVAugAugTV-14Friday"
4961,For Love or Money,"MovieRobertKazinsky,SamanthaBarks,EdSpeleers,TonyWay,RachelHurd-Wood,IvanKaye,AnnaChancellor,DavidHargreaves,TanyaReynoldsMarkMurphyUnitedKingdomComedies95minComediesAugAugTV-MAFriday"
4962,Green Frontier,"TV ShowJuanadelRío,ÁngelaCano,MiguelDionisioRamos,NelsonCamayo,BrunoClairefond,MarcelaMar,AndrésCrespo,JohnNarváez,EdwinMorales,KarlaLópez,AntonioBolívarDiretorDesconhecidoColombiaCrimeTVShows,InternationalTVShows,Spanish-LanguageTVShows1SeasonCrimeTVShows,InternationalTVShows,Spanish-LanguageTVShowsAugAugTV-MAFriday"
4963,Invader Zim: Enter the Florpus,"MovieRichardStevenHorvitz,RikkiSimons,AndyBerman,MelissaFahn,RodgerBumpass,JhonenVasquez,WallyWingert,KevinMcDonald,Oliviad'Abo,EricBauzaDiretorDesconhecidoSouthKorea,UnitedStatesChildren&FamilyMovies,Comedies,Sci-Fi&Fantasy72minChildren&FamilyMovies,Comedies,Sci-Fi&FantasyAugAugTV-Y7-FVFriday"
4964,Selfless,"MovieRyanReynolds,NatalieMartinez,MatthewGoode,BenKingsley,VictorGarber,DerekLuke,MichelleDockery,MeloraHardin,BrendanMcCarthy,SamPageTarsemSinghUnitedStatesSci-Fi&Fantasy,Thrillers117minSci-Fi&Fantasy,ThrillersAugAugPG-13Friday"
4965,Sextuplets,"MovieMarlonWayans,BreshaWebb,MichaelIanBlack,GlynnTurman,MollyShannon,DebbiMorganMichaelTiddesUnitedStatesComedies100minComediesAugAugTV-14Friday"
4966,Super Monsters Back to School,"MovieElyseMaloway,VincentTong,ErinMatthews,AndreaLibman,AlessandroJuliani,NicoleAnthony,DianaKaarina,GigiSaulGuerrero,IanJamesCorlett,BrittMcKillip,KathleenBarrDiretorDesconhecidoCanadaChildren&FamilyMovies24minChildren&FamilyMoviesAugAugTV-YFriday"
4967,The King's Avatar,"TV ShowYangYang,JiangShuying,LaiYumeng,LiMuchen,LaiYi,FanJinwei,JiangLong,SunNing,LiJunchen,ZhaoChulun,LiuQiushi,JiangXueming,LiangYimu,YangTindong,GaoHanyu,KuangMuye,JiXiangning,HaoShuai,SongHanyu,GuYoumingDiretorDesconhecidoChinaInternationalTVShows,TVAction&Adventure,TVDramas1SeasonInternationalTVShows,TVAction&Adventure,TVDramasAugAugTV-14Friday"
4968,The Little Switzerland,"MovieJonPlazaola,MaggieCivantos,IngridGarcíaJonsson,LanderOtaola,SecundelaRosa,RamónBarea,MaribelSalas,MikelLosada,PepeRapazote,EnriqueVillén,KandidoUranga,AnabelaTeixeira,KarraElejalde,AntonioResinesKepaSojoSpainComedies,InternationalMovies86minComedies,InternationalMoviesAugAugTV-MAFriday"
4969,Victim Number 8,"TV ShowCésarMateo,MaríadeNati,VerónikaMoral,IñakiArdanaz,FarahHamed,LisiLinder,KhaledKouka,ÓscarZafra,JesúsRuyman,AlfonsoTorregrosa,ItziarLazkano,SonKhoury,YoussefBougarouane,MarcialÁlvarezDiretorDesconhecidoSpainInternationalTVShows,Spanish-LanguageTVShows,TVAction&Adventure1SeasonInternationalTVShows,Spanish-LanguageTVShows,TVAction&AdventureAugAugTV-MAFriday"
4970,Bhavesh Joshi Superhero,"MovieHarshvardhanKapoor,PriyanshuPainyuli,AshishVerma,ShreiyaSabharwal,PratapPhad,ChinmayeeMandlekar,NishikantKamat,HrishikeshJoshiVikramadityaMotwaneIndiaDramas,InternationalMovies,Sci-Fi&Fantasy150minDramas,InternationalMovies,Sci-Fi&FantasyAugAugTV-14Thursday"
4971,Casino Tycoon 2,"MovieDennisChanWongJingHongKongAction&Adventure,Dramas,InternationalMovies108minAction&Adventure,Dramas,InternationalMoviesAugAugTV-MAThursday"
4972,Disciples Of The 36th Chamber,"MovieHouHsiao,GordonLiu,LilyLi,JasonPaiPiao,Chia-LiangLiuChia-LiangLiuHongKongAction&Adventure,InternationalMovies90minAction&Adventure,InternationalMoviesAugAugNRThursday"
4973,Legendary Weapons of China,"MovieGordonLiu,ChiaYungLiu,HouHsiao,Chia-LiangLiu,TietWoChu,ShengFu,KaraHuiChia-LiangLiuHongKongAction&Adventure,CultMovies,InternationalMovies101minAction&Adventure,CultMovies,InternationalMoviesAugAugTV-14Thursday"
4974,Lifeline,"MovieLauChingWan,AlexFong,CarmanLee,RubyWong,RaymondWongHo-Yin,DamianLau,LamSuet,KennethChanJohnnieToHongKongAction&Adventure,InternationalMovies104minAction&Adventure,InternationalMoviesAugAugTV-14Thursday"
4975,"Look Out, Officer","MovieStephenChow,BillTung,StanleySui-FanFung,VivianChan,IndraLeech,AmyYipSzeYuLauHongKongAction&Adventure,Comedies,InternationalMovies88minAction&Adventure,Comedies,InternationalMoviesAugAugTV-MAThursday"
4976,Love on Delivery,"MovieStephenChow,ChristyChung,NgMan-TatStephenChowHongKongAction&Adventure,Comedies,InternationalMovies93minAction&Adventure,Comedies,InternationalMoviesAugAugTV-14Thursday"
4977,Loving You,"MovieLauChingWan,CarmanLee,Tsung-HuaTo,Chung-waiLee,RubyWongJohnnieToHongKongDramas,InternationalMovies79minDramas,InternationalMoviesAugAugTV-14Thursday"
4978,Mahjong Heroes,"MoviePatrickTse,BettyTingPei,HuaYueh,ChinSiuHo,LauHak-Suen,KwanHoi-sanLiPei-ChuanHongKongComedies,InternationalMovies92minComedies,InternationalMoviesAugAugTV-PGThursday"
4979,Martial Arts of Shaolin,"MovieJetLi,JianqiangHu,QiuyanHuang,QingfuPan,YuChenghui,YuHai,JianwenZhangChia-LiangLiuHongKong,ChinaAction&Adventure,InternationalMovies90minAction&Adventure,InternationalMoviesAugAugTV-MAThursday"
4980,Mr. Virgin,"MovieOliviaCheng,AlfredCheung,HuChin,ChungPingGeung,AnglieLeungAnthonyChanHongKongComedies,Dramas,InternationalMovies86minComedies,Dramas,InternationalMoviesAugAugTV-14Thursday"
4981,"My Schoolmate, the Barbarian","MovieNicholasTse,StephenFung,JoeyYung,SamuelPang,SerenaPo,KenChung,HyperBB,KaHoYu,FrankieChi-HungNg,LaiHingChanSiu-hungChung,WongJingHongKongAction&Adventure,Comedies,InternationalMovies90minAction&Adventure,Comedies,InternationalMoviesAugAugTV-MAThursday"
4982,Oh My Ghost 3,"MovieKohteeAramboy,YingsakChonglertjetsadawong,JaturongMokjok,WaraphatPhatsathit,WiraditSrimalai,EkkachaiSrivichai,VaruthWaratham,ButsarinYokpraipanPojArnonThailandComedies,HorrorMovies,InternationalMovies103minComedies,HorrorMovies,InternationalMoviesAugAugTV-MAThursday"
4983,Opium and the Kung Fu Master,"MovieLungTi,Te-LoMai,LeanneLiu,KuanTaiChen,PhillipKo,Kuan-chungKu,KwokKuenChan,HoiSangLee,TauWanYue,ChiaTang,ShenChanChiaTangHongKongAction&Adventure,InternationalMovies86minAction&Adventure,InternationalMoviesAugAugTV-MAThursday"
4984,Painted Faces,"MovieSammoKam-BoHung,Ching-YingLam,ChengPei-peiAlexLawHongKongDramas,InternationalMovies108minDramas,InternationalMoviesAugAugTV-PGThursday"
4985,Return To The 36th Chamber,"MovieGordonLiu,LungWeiWang,HouHsiao,LunHua,Yeong-munKwon,KaraHui,Szu-ChiaChen,TsuiLingYu,WeiHaoTeng,GongShihChia-LiangLiuHongKongAction&Adventure,Comedies,InternationalMovies97minAction&Adventure,Comedies,InternationalMoviesAugAugRThursday"
4986,Shark Busters,"MovieDannyLee,HuiSiu-Hung,LamSuet,AlfredCheung,BrianIreland,KenLo,LaiSuk-Yin,YeungTin-King,FungHak-On,JamieLukHermanYauHongKongDramas,InternationalMovies92minDramas,InternationalMoviesAugAugTV-14Thursday"
4987,Sword Masters: Two Champions of Shaolin,"MovieMengLo,ShengChiang,LiWang,Siu-HoChin,FengLu,ChienSun,Hsueh-erhWen,Tai-PingYuChehChangHongKongAction&Adventure,InternationalMovies101minAction&Adventure,InternationalMoviesAugAugRThursday"
4988,The Bare-Footed Kid,"MovieAaronKwok,LungTi,MaggieCheung,Chien-lienWu,PaulChun,KennethTsangJohnnieToHongKongAction&Adventure,InternationalMovies83minAction&Adventure,InternationalMoviesAugAugTV-MAThursday"
4989,The Mad Monk,"MovieStephenChow,MaggieCheung,AnthonyWongChau-Sang,KirkWong,NgMan-Tat,AnitaMuiJohnnyToHongKongComedies,InternationalMovies,Sci-Fi&Fantasy85minComedies,InternationalMovies,Sci-Fi&FantasyAugAugTV-14Thursday"
4990,The Young Vagabond,"MovieChia-HuiLiu,WongYu,JasonPaiPiao,LungWeiWang,Hoi-ShanKwan,FengKu,SanNamHung,KuoHuaChang,FengKuanSzeYuLauHongKongAction&Adventure,Comedies,InternationalMovies85minAction&Adventure,Comedies,InternationalMoviesAugAugTV-14Thursday"
4991,Wish I Was Here,"MovieZachBraff,KateHudson,DonaldFaison,JoeyKing,JoshGad,JimParsons,PierceGagnon,MandyPatinkin,AshleyGreene,MichaelWestonZachBraffUnitedStatesComedies,Dramas,IndependentMovies106minComedies,Dramas,IndependentMoviesAugAugRThursday"
4992,Cannon Busters,"TV ShowYoshitsuguMatsuoka,HinakiYano,ShioriIzawa,JunjiMajima,YosukeAkimoto,NobuyukiHiyama,TakayaKuroda,KatsuhisaHouki,TaroYamaguchi,JunkoMinagawa,TomomiMaruyamaDiretorDesconhecidoUnitedStates,JapanAnimeSeries,InternationalTVShows1SeasonAnimeSeries,InternationalTVShowsAugAugTV-MAThursday"
4993,Chhota Bheem Kungfu Dhamaka,"MovieSonalKaushal,RupaBhimani,JignaBharadhwaj,SabinaMalik,JulieTejwani,RajeshKava,VaibhavThakkar,SamriddhiShuklaa,AdityaRajSharma,VinodKulkarniRajivChilaka,BinayakDasIndiaChildren&FamilyMovies112minChildren&FamilyMoviesAugAugTV-Y7-FVThursday"
4994,Til Death Do Us Part,"TV ShowWenChen-ling,RiverHuang,LinHe-xuan,PhoebeLin,JanelTsai,DaraHanfman,HsiaTeng-hung,NikkiHsin-YingHsiehChoLi,ChenHung-yi,WeicaWang,LiuBang-yao,LinGuan-fu,ShenChi,YCTomLeeTaiwanInternationalTVShows,TVDramas,TVThrillers1SeasonInternationalTVShows,TVDramas,TVThrillersAugAugTV-MAThursday"
4995,Whindersson Nunes: Adult,MovieWhinderssonNunesDiegoPignataroBrazilStand-UpComedy69minStand-UpComedyAugAugTV-MAThursday
4996,Adventures in Public School,"MovieDanielDoheny,JudyGreer,SiobhanWilliams,RussellPeters,GracePark,AndrewMcNee,AlexBarima,AndrewHerr,EvaDay,JoshEpsteinKyleRideoutCanada,UnitedStatesComedies86minComediesAugAugNRWednesday"
4997,Bioscope,"MovieNinaKulkarni,SuhasPalshikar,KushalBadrike,SpruhaJoshi,MangeshDesai,SmitaTambe,VeenaJamkar,SandeepKhareGajendraAhire,VijuMane,GirishMohite,RaviJadhavIndiaDramas,InternationalMovies,LGBTQMovies131minDramas,InternationalMovies,LGBTQMoviesAugAugTV-14Wednesday"
4998,For Here or to Go?,"MovieAliFazal,MelanieChandra,RajitKapoor,AmitoshNagpal,OmiVaidya,SamratChakrabarti,KeithStevensonRuchaHumnabadkarUnitedStates,IndiaComedies,Dramas,IndependentMovies105minComedies,Dramas,IndependentMoviesAugAugTV-MAWednesday"
4999,Hostiles,"MovieChristianBale,RosamundPike,WesStudi,JessePlemons,TimothéeChalamet,BenFoster,AdamBeach,RoryCochrane,PeterMullan,ScottWilson,PaulAnderson,JonathanMajors,JohnBenjaminHickey,Q'oriankaKilcher,RyanBinghamScottCooperUnitedStatesDramas134minDramasAugAugRWednesday"
5000,Hurricane Bianca: From Russia With Hate,"MovieRoyHaylock,RachelDratch,BrianMcCook,D.J.""Shangela""Pierce,DougPlaut,CheyenneJackson,KristenJohnston,HeatherMcDonald,WandaSykes,JaneaneGarofaloMattKugelmanUnitedStatesComedies,IndependentMovies,LGBTQMovies85minComedies,IndependentMovies,LGBTQMoviesAugAugTV-MAWednesday"
5001,Nuestra Lucha Libre,"TV ShowElencoDesconhecidoDiretorDesconhecidoPaisDesconhecidoDocuseries,InternationalTVShows,Spanish-LanguageTVShows1SeasonDocuseries,InternationalTVShows,Spanish-LanguageTVShowsAugAugTV-MAWednesday"
5002,The Creative Indians,"TV ShowElencoDesconhecidoDiretorDesconhecidoPaisDesconhecidoDocuseries,InternationalTVShows1SeasonDocuseries,InternationalTVShowsAugAugNRWednesday"
5003,What's Your Raashee?,"MoviePriyankaChopra,HarmanBaweja,SuzyBrack,GeneFojtik,AnjanSrivastav,DarshanJariwala,DilipJoshi,DayaShankarPandey,YuriSuri,RajeshVivek,GeetaTyagiAshutoshGowarikerIndiaComedies,InternationalMovies,Music&Musicals203minComedies,InternationalMovies,Music&MusicalsAugAugTV-PGWednesday"
5004,20 Minutes,"TV ShowTubaBüyüküstün,IlkerAksum,BülentEminYarar,İpekBilgin,MüjdeUzman,FiratÇelik,AytenUncuoglu,CihatTamerDiretorDesconhecidoTurkeyCrimeTVShows,InternationalTVShows,TVDramas1SeasonCrimeTVShows,InternationalTVShows,TVDramasAugAugTV-MATuesday"
5005,Barbecue,"MovieElencoDesconhecidoMatthewSallehAustralia,Armenia,Japan,Jordan,Mexico,Mongolia,NewZealand,Philippines,SouthAfrica,Sweden,UnitedStates,UruguayDocumentaries,InternationalMovies101minDocumentaries,InternationalMoviesAugAugTV-MATuesday"
5006,Brad Paisley's Comedy Rodeo,"MovieBradPaisley,NateBargatze,JohnHeffron,JonReep,SarahTiana,MikeE.WinfieldJayChapmanUnitedStatesStand-UpComedy63minStand-UpComedyAugAugTV-MATuesday"
5007,Colin Quinn: Unconstitutional,MovieColinQuinnJayChapmanUnitedStatesStand-UpComedy56minStand-UpComedyAugAugTV-MATuesday
5008,Goon,"MovieSeannWilliamScott,JayBaruchel,LievSchreiber,AlisonPill,Marc-AndréGrondin,KimCoates,EugeneLevy,NicholasCampbell,RichardClarkin,JonathanCherryMichaelDowseUnitedStates,CanadaComedies,SportsMovies92minComedies,SportsMoviesAugAugRTuesday"
5009,Million Yen Women,"TV ShowYojiroNoda,RilaFukushima,RenaMatsui,MiwakoWagatsuma,RenaTakeda,YukoAraki,YuyaEndo,KaitoYoshimura,MoekaHoshi,JuriIhata,MarikoTsutsui,KanjiFurutachi,TetsuhiroIkeda,TakashiYamanaka,TomoyaNakamura,LilyFrankyDiretorDesconhecidoJapanCrimeTVShows,InternationalTVShows,TVDramas1SeasonCrimeTVShows,InternationalTVShows,TVDramasAugAugTV-MATuesday"
5010,My Ex-Ex,"MovieAndréBharti,KatherineBarrell,RayGalletti,EmilyAlatalo,TamaraDuarte,RandalEdwards,AlastairForbes,JesseCamachoNathanielWarshCanadaComedies,RomanticMovies91minComedies,RomanticMoviesAugAugTV-MATuesday"
5011,We're No Animals,"MovieJohnCusack,PaulHipp,KevinMorris,AlejandroAgresti,MarioAlarcón,NormanBriski,LucilaSolá,JuanaViale,PabloBossi,LeticiaBrédiceAlejandroAgrestiUnitedStates,ArgentinaComedies,Dramas,IndependentMovies94minComedies,Dramas,IndependentMoviesAugAugTV-MATuesday"
5012,Behind Enemy Lines,"TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedStatesBritishTVShows,Docuseries1SeasonBritishTVShows,DocuseriesAugAugTV-14Monday"
5013,Being AP,"MovieTonyMcCoyAnthonyWonkeUnitedKingdomDocumentaries,InternationalMovies,SportsMovies99minDocumentaries,InternationalMovies,SportsMoviesAugAugTV-14Monday"
5014,John & Jane,"MovieElencoDesconhecidoAshimAhluwaliaIndiaDocumentaries,InternationalMovies79minDocumentaries,InternationalMoviesAugAugTV-14Monday"
5015,Louis C.K.: Live at the Comedy Store,MovieLouisC.K.LouisC.K.UnitedStatesMovies66minMoviesAugAugRating DesconhecidoMonday
5016,Real Crime: Supermarket Heist (Tesco Bomber),MovieElencoDesconhecidoDiretorDesconhecidoUnitedKingdomDocumentaries46minDocumentariesAugAugTV-14Monday
5017,Mission Blue,"MovieJamesCameron,MichaeldeGruy,SylviaEarle,BryceGroark,JeremyJackson,CarlSafinaRobertNixon,FisherStevensUnitedStates,Bermuda,EcuadorDocumentaries94minDocumentariesAugAugTV-Y7Friday"
5018,Happy Jail,"TV ShowElencoDesconhecidoDiretorDesconhecidoPaisDesconhecidoCrimeTVShows,Docuseries1SeasonCrimeTVShows,DocuseriesAugAugTV-MAWednesday"
5019,Uyare,"MovieParvathy,AsifAli,TovinoThomas,Siddique,PratapPothan,SamyukthaMenon,AnarkaliMarikar,PremPrakashManuAshokanIndiaDramas,InternationalMovies119minDramas,InternationalMoviesAugAugTV-14Wednesday"
5020,Exclusive Edition,"TV ShowBergLee,YiseLoo,AlvinWong,Hady,MondayKang,Ruobing,WymenYang,MayJune,AenieWong,ErnestChongJamesLeePaisDesconhecidoInternationalTVShows,TVDramas1SeasonInternationalTVShows,TVDramasAugAugTV-14Monday"
5021,Glowing Embers,"TV ShowHenleyHii,DebbieGoh,FrederickLee,WymenYang,MelvinSia,AlvinWongDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,TVDramas1SeasonInternationalTVShows,TVDramasAugAugTV-14Monday"
5022,Persona,"TV ShowLooAyeKeng,Kyo,JojoGoh,FabianLoo,EmilyChanDiretorDesconhecidoPaisDesconhecidoCrimeTVShows,InternationalTVShows,TVDramas1SeasonCrimeTVShows,InternationalTVShows,TVDramasAugAugTV-PGMonday"
5023,The Iron Lady,"TV ShowYeoYannYann,AenieWong,SeckFookYee,JackyKam,FrederickLee,JefferyCheng,MandyChenDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,TVDramas1SeasonInternationalTVShows,TVDramasAugAugTV-PGMonday"
5024,The Outcasts,"MovieVictoriaJustice,EdenSher,AshleyRickards,ClaudiaLee,KatieChang,PeytonList,JazmynRichardson,AvanJogia,WillPeltzPeterHutchingsUnitedStatesComedies94minComediesAugAugPG-13Monday"
5025,Demetri Martin: Live (At the Time),MovieDemetriMartinJayKarasUnitedStatesStand-UpComedy62minStand-UpComedyAugAugTV-MAFriday
5026,90 ML,"MovieOviya,MasoomShankar,BommuLakshmi,MonishaRam,TejRaj,ShreeGopika,AnsonPaul,DevadarshiniChetanAnitaUdeepIndiaComedies,InternationalMovies,Music&Musicals123minComedies,InternationalMovies,Music&MusicalsAugAugTV-14Tuesday"
5027,Calum von Moger: Unbroken,"MovieCalumVonMogerVladYudinUnitedStatesDocumentaries,SportsMovies93minDocumentaries,SportsMoviesAugAugTV-MATuesday"
5028,Hasta los dientes,"MovieElencoDesconhecidoAlbertoArnautEstradaMexicoDocumentaries,InternationalMovies109minDocumentaries,InternationalMoviesAugAugTV-MATuesday"
5029,Tiffany Haddish Presents: They Ready,"TV ShowTraceyAshley,FlameMonroe,AidaRodriguez,MarloWilliams,AprilMacie,ChauntéWayans,TiffanyHaddishDiretorDesconhecidoUnitedStatesStand-UpComedy&TalkShows,TVComedies1SeasonStand-UpComedy&TalkShows,TVComediesAugAugTV-MATuesday"
5030,Woodstock,"MovieElencoDesconhecidoBarakGoodmanUnitedStatesDocumentaries,Music&Musicals97minDocumentaries,Music&MusicalsAugAugTV-MATuesday"
5031,Hot Property,"MovieMyAnnaBuring,TomRhysHarries,EllaSmith,SamPhillips,KateBrackenMaxMcGillUnitedKingdomComedies,IndependentMovies82minComedies,IndependentMoviesAugAugTV-MASunday"
5032,Mission Control: The Unsung Heroes of Apollo,"MovieElencoDesconhecidoDavidFairheadUnitedStates,UnitedKingdomDocumentaries100minDocumentariesAugAugTV-14Sunday"
5033,13 Cameras,"MoviePJMcCabe,BrianneMoncrief,SarahBaldwin,JimCummings,HeidiNiedermeyer,NevilleArchambaultVictorZarcoffUnitedStatesHorrorMovies,IndependentMovies,Thrillers90minHorrorMovies,IndependentMovies,ThrillersAugAugNRSaturday"
5034,DC Super Hero Girls,"TV ShowGreyGriffin,TaraStrong,NicoleSullivan,KariWahlgren,MyrnaVelasco,KimberlyBrooksDiretorDesconhecidoUnitedStatesKids'TV1SeasonKids'TVAugAugTV-Y7-FVMonday"
5035,Chocolate City: Vegas Strip,"MovieRobertRi'chard,DarrinDewittHenson,Ginuwine,GilbertSaldivar,KeithCarlos,MichaelBolwaire,WillieTaylor,MichaelJaiWhite,VivicaA.Fox,MekhiPhiferJean-ClaudeLaMarreUnitedStatesDramas90minDramasAugAugTV-MASaturday"
5036,Los Herederos,"MovieMáximoHollander,SebastiánAguirre,ÚrsulaPruneda,RodrigoMendoza,GermánBracco,TomásManterola,ReginaSoto,DiegoVelázquez,MónicaDelCarmen,JoséEgüez,PabloCruzJorgeHernandezAldanaMexicoDramas,InternationalMovies71minDramas,InternationalMoviesAugAugTV-MASaturday"
5037,Naked,"MovieMarlonWayans,ReginaHall,DennisHaysbert,LorettaDevine,ElizaCoupe,ScottFoley,J.T.Jackson,BrianMcKnight,CoryHardrict,NeilBrownJr.,DavidSheridan,MinkaKellyMichaelTiddesUnitedStatesComedies,RomanticMovies97minComedies,RomanticMoviesAugAugTV-14Friday"
5038,Jim Gaffigan: Beyond the Pale,MovieJimGaffiganMichaelDrummUnitedStatesStand-UpComedy72minStand-UpComedyAugAugTV-14Thursday
5039,Jim Gaffigan: King Baby,MovieJimGaffiganTroyMillerUnitedStatesStand-UpComedy71minStand-UpComedyAugAugTV-PGThursday
5040,Jim Gaffigan: Mr. Universe,MovieJimGaffiganJayKarasUnitedStatesStand-UpComedy77minStand-UpComedyAugAugTV-14Thursday
5041,Jim Gaffigan: Obsessed,MovieJimGaffiganJayChapmanUnitedStatesStand-UpComedy70minStand-UpComedyAugAugTV-14Thursday
5042,72 Dangerous Animals: Asia,"TV ShowBobBrisbaneDiretorDesconhecidoAustraliaDocuseries,InternationalTVShows,Science&NatureTV1SeasonDocuseries,InternationalTVShows,Science&NatureTVAugAugTV-14Friday"
5043,Afflicted,"TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedStatesDocuseries,RealityTV1SeasonDocuseries,RealityTVAugAugTV-MAFriday"
5044,All About the Washingtons,"TV ShowJosephSimmons,JustineSimmons,KianaLedé,NathanAnderson,LeahRoseRandall,MaceoSmedley,QuincyFouse,DJRuckus,AdainBradley,TimMeadows,DaymondJohn,ErickChavarria,ChristopherClarke,AubreyCleland,ArsenioHall,StephenSchneider,MaxGoudsmit,NoahGerry,JamieVanDyke,AshleighHairstonDiretorDesconhecidoUnitedStatesTVComedies1SeasonTVComediesAugAugTV-PGFriday"
5045,Beyond the Clouds,"MovieIshaanKhattar,MalavikaMohanan,GoutamGhose,Sharada,TannishthaChatterjee,ShashankShende,HemaSingh,AkashGopalMajidMajidiIndia,IranDramas,IndependentMovies,InternationalMovies120minDramas,IndependentMovies,InternationalMoviesAugAugTV-14Friday"
5046,The Birth Reborn,"MovieElencoDesconhecidoEduardoChauvetBrazilDocumentaries,InternationalMovies91minDocumentaries,InternationalMoviesAugAugTV-14Friday"
5047,The Guernsey Literary and Potato Peel Pie Society,"MovieLilyJames,MichielHuisman,PenelopeWilton,TomCourtenay,JessicaBrownFindlay,KatherineParkinson,MatthewGoodeMikeNewellUnitedKingdom,France,UnitedStatesDramas,RomanticMovies124minDramas,RomanticMoviesAugAugTV-14Friday"
5048,The Package,"MovieDanielDoheny,GeraldineViswanathan,LukeSpencerRoberts,EduardoFranco,SadieCalvanoJakeSzymanskiUnitedStatesComedies95minComediesAugAugTV-MAFriday"
5049,Zion,"MovieZionClarkFloydRussUnitedStatesDocumentaries,SportsMovies12minDocumentaries,SportsMoviesAugAugTV-PGFriday"
5050,Alive and Kicking,"MovieElencoDesconhecidoSusanGlatzerSweden,UnitedStatesDocumentaries89minDocumentariesAugAugTV-14Thursday"
5051,Demonic,"MovieMariaBello,FrankGrillo,CodyHorn,DustinMilligan,MeganPark,ScottMechlowicz,AaronYoo,AlexGoode,TerenceRosemore,JesseSteccatoWillCanonUnitedStatesHorrorMovies,IndependentMovies83minHorrorMovies,IndependentMoviesAugAugRThursday"
5052,SHOT! The Psycho-Spiritual Mantra of Rock,"MovieMickRockBarneyClayUnitedKingdom,UnitedStatesDocumentaries,Music&Musicals98minDocumentaries,Music&MusicalsAugAugTV-MAThursday"
5053,The Saint,"MovieAdamRayner,ElizaDushku,IanOgilvy,JamesRemar,RogerMoore,EnriqueMurciano,ThomasKretschmann,BeatriceRosen,GregGrunberg,YaniGellmanErnieBarbarashUnitedStatesAction&Adventure92minAction&AdventureAugAugTV-14Thursday"
5054,3 Idiots,"MovieAamirKhan,KareenaKapoor,Madhavan,SharmanJoshi,OmiVaidya,BomanIrani,MonaSingh,JavedJaffreyRajkumarHiraniIndiaComedies,Dramas,InternationalMovies164minComedies,Dramas,InternationalMoviesAugAugPG-13Thursday"
5055,Are We Done Yet?,"MovieAhmedEid,AytenAmer,AhmedFouadSelim,MohsenMansourKhaledElHalafawyEgyptComedies,Dramas,InternationalMovies87minComedies,Dramas,InternationalMoviesAugAugTV-14Thursday"
