,Titulo,objetivo
73,Amanda Knox,"MovieElencoDesconhecidoRodBlackhurst,BrianMcGinnDenmark,UnitedStatesDocumentaries92minDocumentariesSepSepTV-MAFriday"
74,Lovesick,"TV ShowKongyingyongChonlathorn,PhumphothingamNawat,LuangsodsaiAnupart,NuchanartVeerakaarn,ChindavanichPrimrose,CharnmanoonPannin,NungiraHanwutinanon,AusavaterakulAusavapat,SirikietSaejea,NontapanChuenwarinDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,RomanticTVShows,TVDramas1SeasonInternationalTVShows,RomanticTVShows,TVDramasSepSepTV-14Monday"
75,The Debt Collector,"MovieScottAdkins,LouisMandylor,VladimirKulich,MichaelParé,RachelBrann,SelinaLo,TonyToddJesseV.JohnsonUnitedKingdom,UnitedStatesAction&Adventure96minAction&AdventureSepSepTV-MAMonday"
76,Act of Vengeance,"MovieHalukBilginer,MahsunKırmızıgül,MustafaSandal,GinaGershon,RobertPatrick,DannyGlover,EnginAltanDüzyatan,ScottWilliamWinters,SharrieffPughMahsunKırmızıgülTurkey,UnitedStatesAction&Adventure,InternationalMovies112minAction&Adventure,InternationalMoviesSepSepNRSaturday"
77,Paradise Lost,"MovieJúlioAndrade,LeeTaylor,HermilaGuedes,JuliaKonrad,ErasmoCarlos,MarjorieEstiano,SeuJorge,Jaloo,FelipeAbib,HumbertoCarrão,MaluGalliMoniqueGardenbergBrazilDramas,IndependentMovies,InternationalMovies111minDramas,IndependentMovies,InternationalMoviesSepSepTV-MASaturday"
78,Gerald's Game,"MovieCarlaGugino,BruceGreenwood,HenryThomas,CarelStruycken,ChiaraAureliaMikeFlanaganUnitedStatesHorrorMovies,Thrillers103minHorrorMovies,ThrillersSepSepTV-MAFriday"
79,Long Shot,MovieElencoDesconhecidoJacobLaMendolaUnitedStatesDocumentaries40minDocumentariesSepSepTV-14Friday
80,Mak Cun,"TV ShowErmaFatima,RahimRazali,UmieAida,NoraDanishDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,TVComedies,TVDramas1SeasonInternationalTVShows,TVComedies,TVDramasSepSepTV-PGFriday"
81,Our Souls at Night,"MovieRobertRedford,JaneFonda,BruceDern,MatthiasSchoenaerts,IainArmitage,JudyGreer,PhyllisSomervilleRiteshBatraUnitedStatesDramas,RomanticMovies103minDramas,RomanticMoviesSepSepTV-14Friday"
82,Out of Thin Air,"MovieElencoDesconhecidoDylanHowittPaisDesconhecidoDocumentaries,InternationalMovies85minDocumentaries,InternationalMoviesSepSepTV-14Friday"
83,Paul Hollywood's Big Continental Road Trip,"TV ShowPaulHollywoodDiretorDesconhecidoUnitedKingdomBritishTVShows,Docuseries,InternationalTVShows1SeasonBritishTVShows,Docuseries,InternationalTVShowsSepSepTV-14Friday"
84,Satu Hari,"TV ShowSaraAli,RemyIshak,RitaRudaini,MirzaSalihovic,HafizulKamal,MillerKhanDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,TVDramas1SeasonInternationalTVShows,TVDramasSepSepTV-14Friday"
85,"Monster High: Boo York, Boo York","MovieKarenStrassman,CelesteHenderson,WendeeLee,TJSmith,AmericaYoung,RachelStaman,LauraBaileyWilliamLauUnitedStatesChildren&FamilyMovies,Music&Musicals72minChildren&FamilyMovies,Music&MusicalsSepSepTV-Y7Tuesday"
86,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,"MovieElencoDesconhecidoManaYasudaPaisDesconhecidoDocumentaries,InternationalMovies45minDocumentaries,InternationalMoviesSepSepTV-GSaturday"
87,Domino,"MovieNikolajCoster-Waldau,CaricevanHouten,EriqEbouaney,GuyPearce,MohammedAzaay,SørenMalling,PaprikaSteen,HelenaKaittaniBrianDePalmaDenmark,France,Italy,Belgium,NetherlandsInternationalMovies,Thrillers89minInternationalMovies,ThrillersSepSepRSaturday"
88,TUNA GIRL,"MovieFukaKoshiba,TomFujita,HidetoshiHoshida,HirotoKanai,RyosukeYusa,ShuriTanaka,ChalInoue,TakashiTaniguchi,TakeshiMasuManaYasudaPaisDesconhecidoDramas,InternationalMovies90minDramas,InternationalMoviesSepSepTV-PGSaturday"
89,5CM,"MovieHerjunotAli,RalineShah,FediNuril,PevitaPearce,Saykoji,DennySumargo,DidiPetet,FirrinaSinatryaRizalMantovaniIndonesiaDramas,InternationalMovies126minDramas,InternationalMoviesSepSepTV-14Friday"
90,Animal World,"MovieLiYiFeng,ZhouDongyu,MichaelDouglas,BingkunCao,GeWang,KeanuChi,ZhangJungyi,YijuanLi,SuKeHanYanChinaAction&Adventure,InternationalMovies,Sci-Fi&Fantasy130minAction&Adventure,InternationalMovies,Sci-Fi&FantasySepSepTV-MAFriday"
91,Hold the Dark,"MovieJeffreyWright,AlexanderSkarsgård,JamesBadgeDale,RileyKeough,JulianBlackAntelope,TantooCardinal,MaconBlair,JonathanWhitesell,PeterMcRobbieJeremySaulnierUnitedStatesAction&Adventure,Dramas126minAction&Adventure,DramasSepSepTV-MAFriday"
92,Lessons from a School Shooting: Notes from Dunblane,MovieElencoDesconhecidoKimA.SnyderUnitedStatesDocumentaries24minDocumentariesSepSepTV-PGFriday
93,Made in Mexico,"TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedStatesInternationalTVShows,RealityTV,Spanish-LanguageTVShows1SeasonInternationalTVShows,RealityTV,Spanish-LanguageTVShowsSepSepTV-MAFriday"
94,Single,"MovieRadityaDika,AnnisaRawles,ChandraLiow,PandjiPragiwaksono,BabeCabita,ElviraDevinamira,TinnaHarahap,PevitaPearce,RinnaHassim,DedeYusuf,DewiHughesRadityaDikaIndonesiaComedies,InternationalMovies,RomanticMovies127minComedies,InternationalMovies,RomanticMoviesSepSepTV-PGFriday"
95,The 3rd Eye,"MovieJessicaMila,DennySumargo,CitraPrima,BiancaHello,EpyKusnandar,AnitaHara,DerryDrajat,VokeVictoria,ShofiaShireen,AfdhalYusmanRockySorayaIndonesiaHorrorMovies,InternationalMovies108minHorrorMovies,InternationalMoviesSepSepTV-MAFriday"
96,The Sinking Of Van Der Wijck,"MovieHerjunotAli,PevitaPearce,RezaRahadian,RandyNidji,GesyaShandy,KevinAndrean,ArzettiBilbinaSunilSorayaIndonesiaDramas,InternationalMovies,RomanticMovies163minDramas,InternationalMovies,RomanticMoviesSepSepTV-14Friday"
97,Two Catalonias,"MovieElencoDesconhecidoÁlvaroLongoria,GerardoOlivaresSpainDocumentaries,InternationalMovies117minDocumentaries,InternationalMoviesSepSepTV-MAFriday"
98,Bobby Sands: 66 Days,"MovieElencoDesconhecidoBrendanByrneIreland,UnitedKingdomDocumentaries106minDocumentariesSepSepTV-14Thursday"
99,Bard of Blood,"TV ShowEmraanHashmi,ViineetKumar,SobhitaDhulipala,JaideepAhlawat,KirtiKulhari,SohumShah,RajitKapoor,DanishHussainDiretorDesconhecidoIndiaInternationalTVShows,TVAction&Adventure,TVDramas1SeasonInternationalTVShows,TVAction&Adventure,TVDramasSepSepTV-MAFriday"
100,Deliha 2,"MovieGupseÖzay,EdaEce,AkselBonfil,DeryaAlabora,EsinEden,HülyaDuyar,AliÇelik,MertÖnerGupseÖzayTurkeyComedies,InternationalMovies102minComedies,InternationalMoviesSepSepTV-PGFriday"
101,Dragons: Rescue Riders,"TV ShowNicolasCantu,BrennleyBrown,ZachCallison,SkaiJackson,NoahKayeBentley,AndreRobinson,MarsaiMartinDiretorDesconhecidoPaisDesconhecidoKids'TV,TVComedies1SeasonKids'TV,TVComediesSepSepTV-YFriday"
102,In the Shadow of the Moon,"MovieBoydHolbrook,MichaelC.Hall,CleopatraColeman,BokeemWoodbine,RudiDharmalingam,RachelKellerJimMickleUnitedStatesDramas,Sci-Fi&Fantasy,Thrillers116minDramas,Sci-Fi&Fantasy,ThrillersSepSepTV-MAFriday"
103,Skylines,"TV ShowEdinHasanovic,PeriBaumeister,MurathanMuslu,ErdalYıldız,RichyMüller,AnnaHerrmann,SahinEryilmaz,LisaMariaPotthoff,CarolSchuler,DustinJérômeSchanz,Nimo,ChristopherSchärf,SlavkoPopadicDiretorDesconhecidoPaisDesconhecidoCrimeTVShows,InternationalTVShows,TVDramas1SeasonCrimeTVShows,InternationalTVShows,TVDramasSepSepTV-MAFriday"
